c_customer_sk,c_birth_year,c_birth_country,c_preferred_cust_flag
357,1932,"CAMEROON","N"
529,1932,"AMERICAN SAMOA","N"
720,1932,"BRAZIL","N"
722,1932,"KUWAIT","N"
836,1932,"URUGUAY","N"
914,1932,"COSTA RICA","N"
960,1932,"PHILIPPINES","N"
1016,1932,"JORDAN","N"
1046,1932,"UKRAINE","N"
1110,1932,"EQUATORIAL GUINEA","N"
1138,1932,"TOGO","N"
1407,1932,"SRI LANKA","N"
1504,1932,"AUSTRALIA","N"
1519,1932,"NIGER","N"
1605,1932,"","N"
1645,1932,"NIUE","N"
1697,1932,"BELGIUM","N"
1711,1932,"MARSHALL ISLANDS","N"
1752,1932,"COMOROS","N"
2373,1932,"SWAZILAND","N"
2438,1932,"AUSTRIA","N"
2490,1932,"SAUDI ARABIA","N"
2499,1932,"MALAYSIA","N"
2523,1932,"SAMOA","N"
2648,1932,"BAHRAIN","N"
2665,1932,"MONACO","N"
2694,1932,"HUNGARY","N"
2717,1932,"LIECHTENSTEIN","N"
2869,1932,"SOUTH AFRICA","N"
2903,1932,"JAPAN","N"
3066,1932,"CHRISTMAS ISLAND","N"
3682,1932,"SAINT LUCIA","N"
3692,1932,"NIGER","N"
4037,1932,"TOGO","N"
4271,1932,"BAHAMAS","N"
4395,1932,"CYPRUS","N"
4422,1932,"BAHRAIN","N"
4494,1932,"PORTUGAL","N"
4500,1932,"FIJI","N"
4664,1932,"SWEDEN","N"
4794,1932,"AUSTRALIA","N"
4894,1932,"MONGOLIA","N"
4939,1932,"SLOVAKIA","N"
5001,1932,"KAZAKHSTAN","N"
5013,1932,"MAURITIUS","N"
5261,1932,"MALDIVES","N"
5262,1932,"LUXEMBOURG","N"
5457,1932,"ISLE OF MAN","N"
5629,1932,"ARMENIA","N"
5753,1932,"BURUNDI","N"
5881,1932,"CAMBODIA","N"
5967,1932,"IRAQ","N"
6126,1932,"ERITREA","N"
6255,1932,"CAMBODIA","N"
6423,1932,"AMERICAN SAMOA","N"
6620,1932,"EGYPT","N"
6663,1932,"CHILE","N"
6759,1932,"AUSTRALIA","N"
6781,1932,"HONG KONG","N"
6782,1932,"RUSSIAN FEDERATION","N"
6789,1932,"FRANCE","N"
6815,1932,"GREECE","N"
6909,1932,"CHRISTMAS ISLAND","N"
6976,1932,"NIGERIA","N"
7053,1932,"NEPAL","N"
7224,1932,"KUWAIT","N"
7258,1932,"LESOTHO","N"
7326,1932,"AMERICAN SAMOA","N"
7359,1932,"NIUE","N"
7456,1932,"HUNGARY","N"
7652,1932,"DOMINICA","N"
7676,1932,"KYRGYZSTAN","N"
7736,1932,"BOLIVIA","N"
7897,1932,"CHILE","N"
8025,1932,"FINLAND","N"
8153,1932,"AMERICAN SAMOA","N"
8388,1932,"KOREA, REPUBLIC OF","N"
8399,1932,"SAUDI ARABIA","N"
8432,1932,"QATAR","N"
8784,1932,"LATVIA","N"
8898,1932,"MACAO","N"
