d_date_sk,d_year,d_dow,d_moy,d_dom,d_qoy,d_holiday,d_weekend
2415147,1900,1,5,7,2,"N","N"
2415154,1900,1,5,14,2,"N","N"
2415161,1900,1,5,21,2,"N","N"
2415168,1900,1,5,28,2,"N","N"
2415511,1901,1,5,6,2,"N","N"
2415518,1901,1,5,13,2,"N","N"
2415525,1901,1,5,20,2,"N","N"
2415532,1901,1,5,27,2,"N","N"
2415875,1902,1,5,5,2,"N","N"
2415882,1902,1,5,12,2,"N","N"
2415889,1902,1,5,19,2,"N","N"
2415896,1902,1,5,26,2,"N","N"
2416239,1903,1,5,4,2,"N","N"
2416246,1903,1,5,11,2,"N","N"
2416253,1903,1,5,18,2,"N","N"
2416260,1903,1,5,25,2,"N","N"
2416603,1904,1,5,2,2,"N","N"
2416610,1904,1,5,9,2,"N","N"
2416617,1904,1,5,16,2,"N","N"
2416624,1904,1,5,23,2,"N","N"
2416631,1904,1,5,30,2,"N","N"
2416967,1905,1,5,1,2,"N","N"
2416974,1905,1,5,8,2,"N","N"
2416981,1905,1,5,15,2,"N","N"
2416988,1905,1,5,22,2,"N","N"
2416995,1905,1,5,29,2,"N","N"
2417338,1906,1,5,7,2,"N","N"
2417345,1906,1,5,14,2,"N","N"
2417352,1906,1,5,21,2,"N","N"
2417359,1906,1,5,28,2,"N","N"
2417702,1907,1,5,6,2,"N","N"
2417709,1907,1,5,13,2,"N","N"
2417716,1907,1,5,20,2,"N","N"
2417723,1907,1,5,27,2,"N","N"
2418066,1908,1,5,4,2,"N","N"
2418073,1908,1,5,11,2,"N","N"
2418080,1908,1,5,18,2,"N","N"
2418087,1908,1,5,25,2,"N","N"
2418430,1909,1,5,3,2,"N","N"
2418437,1909,1,5,10,2,"N","N"
2418444,1909,1,5,17,2,"N","N"
2418451,1909,1,5,24,2,"N","N"
2418458,1909,1,5,31,2,"N","N"
2418794,1910,1,5,2,2,"N","N"
2418801,1910,1,5,9,2,"N","N"
2418808,1910,1,5,16,2,"N","N"
2418815,1910,1,5,23,2,"N","N"
2418822,1910,1,5,30,2,"N","N"
2419158,1911,1,5,1,2,"N","N"
2419165,1911,1,5,8,2,"N","N"
2419172,1911,1,5,15,2,"N","N"
2419179,1911,1,5,22,2,"N","N"
2419186,1911,1,5,29,2,"N","N"
2419529,1912,1,5,6,2,"N","N"
2419536,1912,1,5,13,2,"N","N"
2419543,1912,1,5,20,2,"N","N"
2419550,1912,1,5,27,2,"N","N"
2419893,1913,1,5,5,2,"N","N"
2419900,1913,1,5,12,2,"N","N"
2419907,1913,1,5,19,2,"N","N"
2419914,1913,1,5,26,2,"N","N"
2420257,1914,1,5,4,2,"N","N"
2420264,1914,1,5,11,2,"N","N"
2420271,1914,1,5,18,2,"N","N"
2420278,1914,1,5,25,2,"N","N"
2420621,1915,1,5,3,2,"N","N"
2420628,1915,1,5,10,2,"N","N"
2420635,1915,1,5,17,2,"N","N"
2420642,1915,1,5,24,2,"N","N"
2420649,1915,1,5,31,2,"N","N"
2420985,1916,1,5,1,2,"N","N"
2420992,1916,1,5,8,2,"N","N"
2420999,1916,1,5,15,2,"N","N"
2421006,1916,1,5,22,2,"N","N"
2421013,1916,1,5,29,2,"N","N"
2421356,1917,1,5,7,2,"N","N"
2421363,1917,1,5,14,2,"N","N"
2421370,1917,1,5,21,2,"N","N"
2421377,1917,1,5,28,2,"N","N"
2421720,1918,1,5,6,2,"N","N"
2421727,1918,1,5,13,2,"N","N"
2421734,1918,1,5,20,2,"N","N"
2421741,1918,1,5,27,2,"N","N"
2422084,1919,1,5,5,2,"N","N"
2422091,1919,1,5,12,2,"N","N"
2422098,1919,1,5,19,2,"N","N"
2422105,1919,1,5,26,2,"N","N"
2422448,1920,1,5,3,2,"N","N"
2422455,1920,1,5,10,2,"N","N"
2422462,1920,1,5,17,2,"N","N"
2422469,1920,1,5,24,2,"N","N"
2422476,1920,1,5,31,2,"N","N"
2422812,1921,1,5,2,2,"N","N"
2422819,1921,1,5,9,2,"N","N"
2422826,1921,1,5,16,2,"N","N"
2422833,1921,1,5,23,2,"N","N"
2422840,1921,1,5,30,2,"N","N"
2423176,1922,1,5,1,2,"N","N"
