i_item_sk,i_item_desc,i_brand,i_class,i_category,i_manufact,i_color,i_units,i_container,i_product_name
10,"Alone european attempts might take recently to the contributions. Just great clients put at least just social times. Institutions know marks. Bad, alone months guarantee more. Clearly economic propos","namelessunivamalg #11","scanners","Electronics","barantipri","pale","Tsp","Unknown","barought"
22,"Elaborate, creative dates will support ever home limited members. Again recent rules can imply similar, new leaders. Slightly sympatheti","scholarunivamalg #6","karoke","Electronics","n stcallyought","sandy","Each","Unknown","ableable"
23,"Industria","scholarunivamalg #7","karoke","Electronics","n stcallyought","papaya","Bunch","Unknown","priable"
34,"Major, strange officials would not assess bodies. Final, suitable applications must serve towns. Joint boys might question most social, tiny strings. Kn","brandunivamalg #1","personal","Electronics","priantianti","honeydew","Pallet","Unknown","esepri"
53,"Total styles cannot assume companies. Cases may constitute shops. Local years meet still different, superb players. Delicate, peaceful","univamalgamalg #3","memory","Electronics","anticallyeing","peru","Case","Unknown","prianti"
56,"Members see. Difficulties utter so camps. Never particular products will not get from now on. Defensive, hi","amalgamalgamalg #6","disk drives","Electronics","ableoughtese","hot","Tsp","Unknown","callyanti"
61,"Councils hunt coming children. Young relationships increase already explanations. Months begin boys. Gently residential constraints equip home primarily base structu","corpunivamalg #11","musical","Electronics","antieingation","gainsboro","Case","Unknown","oughtcally"
65,"Public, annual h","namelessunivamalg #15","scanners","Electronics","ableablepri","blue","Bundle","Unknown","antically"
75,"For good scientific tasks produce gifts. Once known combinations ought to break immediate, sound mass","exportiamalgamalg #8","stereo","Electronics","eseantin st","wheat","Tbl","Unknown","antiation"
79,"More new services ought to pr","maxiunivamalg #12","televisions","Electronics","antieingpri","papaya","Oz","Unknown","n station"
91,"Clearly relevant rooms develop necessary hotels. Available women can get as att","corpunivamalg #7","musical","Electronics","callyationought","lace","Lb","Unknown","oughtn st"
99,"Years know merely religious reasons. New animals modernise well racial pieces. Various, chi","scholarunivamalg #15","karoke","Electronics","ablebarpri","salmon","Pound","Unknown","n stn st"
106,"Together visible days elaborate less brilliant, brief books; only circumstances carry types. Messages get also in a days; just impossible communi","univamalgamalg #5","memory","Electronics","ationbarpri","turquoise","Ounce","Unknown","callybarought"
108,"Times accuse in a years. Statements would leave","edu packamalgamalg #7","automotive","Electronics","ationbarpri","powder","Tsp","Unknown","eingbarought"
