sr_returned_date_sk,sr_item_sk,sr_customer_sk,sr_store_sk,sr_return_quantity,sr_return_amt
,517,,1,,
,560,,1,,
,1141,,1,,
,1657,,1,,
,1231,,1,,
,1556,,1,,
,1268,,1,,
,589,,1,,
,963,,1,,
,1274,,1,,
,1092,,1,,
,820,,1,,
,877,,1,,
,1263,,1,,
,576,,1,,
,637,,1,,
,1632,,1,,
,714,,1,,
,1484,,1,,
,116,,1,,
,137,,1,,
,885,,1,,
,1491,,1,,
,1717,,1,,
,764,,1,,
,1627,,1,,
,632,,1,,
,114,,1,,
,493,,1,,
,322,,1,,
,1148,,1,,
,1783,,1,,
,853,,1,,
,1000,,1,,
,405,,1,,
,1556,,1,,
,1337,,1,,
,865,,1,,
,1096,,1,,
,245,,1,,
,371,,1,,
,379,,1,,
,1449,,1,,
,1025,,1,,
,1010,,1,,
,586,,1,,
,1239,,1,,
,1357,,1,,
,809,,1,,
,211,,1,,
,1727,,1,,
,1665,,1,,
,218,,1,,
,1435,,1,,
,1272,,1,,
,76,,1,,
,187,,1,,
,85,,1,,
,1033,,1,,
,1213,,1,,
,1663,,1,,
,1424,,1,,
,1599,,1,,
,1578,,1,,
,1645,,1,13,
,169,,1,41,
,524,,1,8,
,1652,,1,3,
,1633,,1,13,
,1165,,1,10,
,1311,,1,57,
,1700,,1,32,
,942,,1,10,
,607,,1,18,
,1457,,1,36,
,1777,,1,9,
,543,,1,60,
,465,,1,54,
,1429,,1,18,
,1046,,1,11,
,1208,,1,12,
,753,,1,1,
,477,,1,76,
,260,,1,14,
,399,,1,35,
,758,,1,7,
,808,,1,2,
,811,,1,3,
,1207,,1,40,
,1623,,1,14,
,1075,,1,1,
,811,,1,17,
,789,,1,6,
,645,,1,33,
,1397,,1,10,
,1459,,1,27,
,1696,,1,19,
,566,,1,17,
,453,,1,13,
,556,,1,25,
,1184,,1,53,
,159,,1,80,
,810,,1,20,
,968,,1,6,
,1117,,1,38,
,626,,1,89,
,687,,1,16,
,1456,,1,82,
,355,,1,33,
,1073,,1,19,
,397,,1,58,
,1487,,1,27,
,1141,,1,34,
,1711,,1,16,
,481,,1,1,
,171,,1,3,
,573,,1,11,
,1177,,1,27,
,435,,1,54,
,940,,1,50,
,794,,1,5,
,703,,1,20,
,397,,1,12,
,511,,1,14,
,734,,1,64,
,663,,1,11,
,767,,1,6,
,1534,,1,16,
,310,,1,21,
2451523,1399,,1,10,
2452662,327,,1,19,
2451584,1387,,1,41,
2452326,1055,,1,25,
2451548,445,,1,25,
2451034,685,,1,30,
2452393,1025,,1,15,
2451847,1787,,1,1,
2451710,959,,1,34,
2451322,218,,1,55,
2451206,1586,,1,9,
2452286,1569,,1,56,
2451186,1372,,1,40,
2452063,1245,,1,5,
2451482,1520,,1,8,
2451894,181,,1,32,
2451826,1598,,1,6,
2451903,349,,1,33,
2452378,343,,1,20,
2452062,999,,1,38,
2450941,800,,1,25,
2451407,1489,,1,23,
2451239,1624,,1,42,
2452707,1477,,1,3,
2452001,1591,,1,1,
2451214,1492,,1,16,
2451120,196,,1,17,
2452292,887,,1,9,
2452721,1357,,1,14,
2451803,1165,,1,3,
2452469,513,,1,58,
2452372,1701,,1,44,
2452259,1445,,1,2,
2452426,1475,,1,23,
2451739,605,,1,53,
2451494,1705,,1,11,
2452370,1083,,1,1,
2451620,373,,1,14,
2451672,17,,1,53,
2451589,650,,1,29,
2452423,643,,1,3,
2452279,349,,1,45,
2451020,32,,1,1,
2451786,985,,1,10,
2451198,1792,,1,2,
2452480,979,,1,17,
2451432,1394,,1,59,
2452294,677,,1,8,
2452324,972,,1,17,
2451990,217,,1,33,
2452224,21,,1,,
2452405,1345,,1,,
2451527,1657,,1,,
2452295,811,,1,,
2452075,743,,1,,
2451230,266,,1,,
2452192,1703,,1,,
2451158,1748,,1,,
2451085,1646,,1,,
2451989,1601,,1,,
2452376,1323,,1,,
2452438,619,,1,,
2451993,893,,1,,
2452329,887,,1,,
2452651,693,,1,,
2452489,942,,1,,
2452276,1139,,1,,
2452015,65,,1,,
2452668,1374,,1,,
2451620,26,,1,,
2452362,655,,1,,
2452326,593,,1,,
2451716,485,,1,,
2452636,1783,,1,,
2452564,1170,,1,,
2451551,1108,,1,,
2451417,1549,,1,,
2452451,459,,1,,
2451185,43,,1,,
2451014,700,,1,,
2452571,681,,1,,
2450975,1171,,1,,
2452659,607,,1,,
2451191,458,,1,,
2452113,901,,1,,
2452723,799,,1,,
2451952,577,,1,,
2452280,1095,,1,,
2451772,632,,1,,
2452172,561,,1,,
2451343,1672,,1,,
2451585,52,,1,,
2452778,1491,,1,,
2452393,315,,1,,
2451369,1540,,1,,
2452609,783,,1,,
2451562,1297,,1,,
2452363,583,,1,,
2452210,1181,,1,,
2451960,992,,1,,
2451969,1583,,1,,
2452371,801,,1,,
2452108,729,,1,,
2451817,1441,,1,,
2451537,1328,,1,,
2451061,494,,1,,
2452490,753,,1,,
2451085,538,,1,,
2451558,1366,,1,,
2452041,953,,1,,
2452171,1,,1,,
2452269,65,,1,,
2451675,1250,,1,,
2451240,448,,1,,
2451857,343,,1,,
2451537,1088,,1,,
2451096,4,,1,,
2451538,896,,1,,
2452602,537,535,1,2,
2451060,62,5957,1,,
2451176,374,590,1,,
2450894,289,804,1,,
2452700,12,3636,1,11,
2452410,533,1518,1,,
2452759,1173,3377,1,,
