Engine,test,sf,query,fabric_02,fabric_04,fabric_08,fabric_16,local_08
total,,,0,6440.03,2351.76,960.5,539.06,842.95
mounted_storage_duckdb,tpcds,100.0,1,11.34,11.39,3.14,2.53,3.99
mounted_storage_duckdb,tpcds,100.0,2,17.56,7.09,3.73,2.0,3.31
mounted_storage_duckdb,tpcds,100.0,3,46.03,8.49,4.24,2.41,3.34
mounted_storage_duckdb,tpcds,100.0,4,218.58,70.32,30.73,18.05,23.06
mounted_storage_duckdb,tpcds,100.0,5,127.45,50.91,9.3,5.21,6.49
mounted_storage_duckdb,tpcds,100.0,6,41.22,17.46,4.53,2.88,3.18
mounted_storage_duckdb,tpcds,100.0,7,60.19,19.12,9.2,4.92,6.89
mounted_storage_duckdb,tpcds,100.0,8,13.99,7.38,3.62,2.24,2.45
mounted_storage_duckdb,tpcds,100.0,9,220.4,95.34,48.19,19.46,28.48
mounted_storage_duckdb,tpcds,100.0,10,58.85,23.3,12.02,0.58,0.26
mounted_storage_duckdb,tpcds,100.0,11,151.22,48.36,19.83,10.98,15.59
mounted_storage_duckdb,tpcds,100.0,12,6.64,2.3,1.19,0.72,0.5
mounted_storage_duckdb,tpcds,100.0,13,0.97,0.63,0.58,0.51,0.36
mounted_storage_duckdb,tpcds,100.0,14,426.25,135.14,44.51,24.07,49.3
mounted_storage_duckdb,tpcds,100.0,15,51.03,1.73,0.74,0.88,0.54
mounted_storage_duckdb,tpcds,100.0,16,3.84,2.14,1.53,2.2,0.83
mounted_storage_duckdb,tpcds,100.0,17,41.67,16.98,8.62,13.88,6.26
mounted_storage_duckdb,tpcds,100.0,18,5.69,2.85,1.68,8.7,1.14
mounted_storage_duckdb,tpcds,100.0,19,80.31,11.97,5.72,3.35,4.38
mounted_storage_duckdb,tpcds,100.0,20,53.96,0.58,0.43,0.59,0.52
mounted_storage_duckdb,tpcds,100.0,21,5.23,5.32,1.73,1.6,0.68
mounted_storage_duckdb,tpcds,100.0,22,29.43,74.21,20.51,10.76,35.29
mounted_storage_duckdb,tpcds,100.0,23,294.66,123.62,60.0,22.54,45.87
mounted_storage_duckdb,tpcds,100.0,24,70.64,18.97,8.62,4.64,9.38
mounted_storage_duckdb,tpcds,100.0,25,86.87,27.39,7.1,4.34,6.68
mounted_storage_duckdb,tpcds,100.0,26,5.41,2.62,1.38,1.13,1.89
mounted_storage_duckdb,tpcds,100.0,27,146.71,59.35,25.38,13.31,19.87
mounted_storage_duckdb,tpcds,100.0,28,151.43,64.26,27.52,14.63,22.04
mounted_storage_duckdb,tpcds,100.0,29,105.05,44.96,21.31,5.11,8.68
mounted_storage_duckdb,tpcds,100.0,30,5.74,5.02,1.84,1.68,1.01
mounted_storage_duckdb,tpcds,100.0,31,60.95,18.18,9.75,3.1,4.83
mounted_storage_duckdb,tpcds,100.0,32,49.22,0.63,0.58,0.53,0.62
mounted_storage_duckdb,tpcds,100.0,33,54.58,13.46,15.06,3.59,4.12
mounted_storage_duckdb,tpcds,100.0,34,25.63,0.45,0.66,0.35,0.24
mounted_storage_duckdb,tpcds,100.0,35,73.09,10.12,5.53,3.46,5.47
mounted_storage_duckdb,tpcds,100.0,36,53.71,10.81,5.7,2.93,4.64
mounted_storage_duckdb,tpcds,100.0,37,13.09,4.62,2.45,0.91,1.73
mounted_storage_duckdb,tpcds,100.0,38,46.97,25.38,6.57,4.01,6.6
mounted_storage_duckdb,tpcds,100.0,39,3.94,4.24,2.16,2.06,2.07
mounted_storage_duckdb,tpcds,100.0,40,41.01,18.48,1.97,2.24,1.07
mounted_storage_duckdb,tpcds,100.0,41,0.4,3.21,0.11,0.13,0.15
mounted_storage_duckdb,tpcds,100.0,42,46.79,15.36,3.59,7.21,2.31
mounted_storage_duckdb,tpcds,100.0,43,17.17,9.55,4.12,7.07,4.15
mounted_storage_duckdb,tpcds,100.0,44,62.78,21.09,10.49,5.99,7.28
mounted_storage_duckdb,tpcds,100.0,45,19.64,9.28,1.92,1.93,1.2
mounted_storage_duckdb,tpcds,100.0,46,70.57,17.92,8.97,5.05,9.63
